55800,4750
56100,4773
56400,4804
56700,4842
57000,4874
57300,4898
57600,4933
57900,4958
58200,4985
58500,5015
58800,5056
59100,5091
59400,5103
59700,5143
60000,5191
60300,5172
60600,5144
60900,5124
61200,5105
61500,5090
61800,5070
62100,5048
62400,5031
62700,5016
63000,5003
63300,4990
63600,4977
63900,4963
64200,4949
64500,4936
64800,4922
65100,4909
65400,4895
65700,4880
66000,4864
66300,4850
66600,4837
66900,4825
67200,4810
67500,4799
67800,4788
68100,4774
68400,4761
68700,4748
69000,4735
69300,4723
69600,4708
69900,4690
70200,4679
70500,4665
70800,4651
71100,4641
71400,4622
71700,4607
72000,4593
72300,4580
72600,4569
72900,4553
73200,4538
73500,4525
73800,4513
74100,4497
74400,4485
74700,4474
75000,4462
75300,4448
75600,4429
75900,4419
76200,4405
76500,4393
76800,4383
77100,4368
77400,4356
77700,4346
78000,4328
78300,4315
78600,4301
78900,4287
79200,4277
79500,4261
79800,4249
80100,4236
80400,4223
80700,4208
81000,4196
81300,4181
81600,4168
81900,4155
82200,4145
82500,4132
82800,4120
83100,4107
83400,4095
83700,4081
84000,4065
84300,4053
84600,4038
84900,4025
85200,4010
85500,3999
85800,3982
86100,3971
86400,3958
86700,3945
87000,3931
87300,3914
87600,3903
87900,3890
88200,3876
88500,3862
88800,3850
89100,3836
89400,3825
89700,3812
90000,3796
90300,3782
90600,3769
90900,3754
91200,3737
91500,3725
91800,3710
92100,3696
92400,3679
92700,3666
93000,3651
93300,3636
93600,3623
93900,3613
94200,3600
94500,3586
94800,3576
95100,3561
95400,3548
95700,3534
96000,3520
96300,3507
96600,3494
96900,3477
97200,3464
97500,3449
97800,3434
98100,3424
98400,3409
98700,3394
99000,3380
99300,3367
99600,3355
99900,3342
100200,3330
100500,3318
100800,3304
101100,3288
101400,3273
101700,3259
102000,3247
102300,3236
102600,3224
102900,3208
103200,3194
103500,3176
103800,3160
104100,3148
104400,3138
104700,3124
105000,3109
105300,3091
105600,3080
105900,3067
106200,3054
106500,3041
106800,3024
107100,3009
107400,2994
107700,2980
108000,2969
108300,2955
108600,2940
108900,2929
109200,2913
109500,2899
109800,2885
110100,2872
110400,2859
